Nr. do Pedido;Status;Data do Pedido;Valor do Pedido(R$);Data de Pagto;Valor de Pagto(R$);Meio de Pagto;Atual Registro;Cod. Operacao
23940;Boleto - Pago Igual (21);20/07/2017 13:53;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24096;Boleto - Gerado (10/13);20/07/2017 13:56;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24097;Boleto - Pago Igual (21);20/07/2017 14:17;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24024;Boleto - Gerado (10/13);20/07/2017 14:20;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23588;Boleto - Pago Igual (21);20/07/2017 14:22;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24098;Boleto - Pago Igual (21);20/07/2017 14:29;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24099;Boleto - Gerado (10/13);20/07/2017 14:31;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24032;Boleto - Gerado (10/13);20/07/2017 14:31;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24082;Boleto - Pago Igual (21);20/07/2017 14:36;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24102;Boleto - Gerado (10/13);20/07/2017 14:51;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24103;Boleto - Gerado (10/13);20/07/2017 15:04;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24104;Boleto - Gerado (10/13);20/07/2017 15:06;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23606;Boleto - Gerado (10/13);20/07/2017 15:22;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23853;Boleto - Gerado (10/13);20/07/2017 15:26;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24105;Boleto - Gerado (10/13);20/07/2017 15:26;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24106;Boleto - Pago Igual (21);20/07/2017 15:36;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24107;Boleto - Pago Igual (21);20/07/2017 15:57;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24108;Boleto - Pago Igual (21);20/07/2017 16:00;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23748;Boleto - Gerado (10/13);20/07/2017 16:02;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24110;Boleto - Gerado (10/13);20/07/2017 16:34;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24111;Boleto - Gerado (10/13);20/07/2017 16:43;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23543;Boleto - Gerado (10/13);20/07/2017 16:47;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
