Nr. do Pedido;Status;Data do Pedido;Valor do Pedido(R$);Data de Pagto;Valor de Pagto(R$);Meio de Pagto;Atual Registro;Cod. Operacao
23897;Boleto - Gerado (10/13);18/07/2017 00:54;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23898;Boleto - Gerado (10/13);18/07/2017 06:41;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23830;Boleto - Gerado (10/13);18/07/2017 07:17;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23899;Boleto - Gerado (10/13);18/07/2017 07:45;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23900;Boleto - Pago Igual (21);18/07/2017 09:22;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23901;Boleto - Gerado (10/13);18/07/2017 09:28;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23902;Boleto - Gerado (10/13);18/07/2017 09:35;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23903;Boleto - Gerado (10/13);18/07/2017 09:36;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23905;Boleto - Pago Igual (21);18/07/2017 10:07;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23906;Boleto - Gerado (10/13);18/07/2017 10:18;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23805;Boleto - Pago Igual (21);18/07/2017 10:19;38;19/07/2017 00:00;38.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
